Keyword,Avg. monthly searches,Competition,Top of page bid (low range),Top of page bid (high range),source_file
ремонт электросамокатов харьков,140,Средний,"1,43","22,85",Keyword Stats 2026-05-14 at 17_17_56.csv
ремонт электросамокатов,70,Низкий,"1,94","24,00",Keyword Stats 2026-05-14 at 17_21_21.csv
ремонт самокатов харьков,50,Средний,"1,36","25,00",Keyword Stats 2026-05-14 at 17_17_56.csv
ремонт электровелосипедов харьков,50,Средний,"2,00","10,12",Keyword Stats 2026-05-14 at 17_22_01.csv
сервисный центр xiaomi харьков,50,Низкий,,,Keyword Stats 2026-05-14 at 17_30_18.csv
ремонт электроскутеров харьков,30,Низкий,"1,27","9,45",Keyword Stats 2026-05-14 at 17_21_21.csv
xiaomi сервисный центр харьков,20,Средний,,,Keyword Stats 2026-05-14 at 17_21_21.csv
ремонт электровелосипеда,20,Низкий,,,Keyword Stats 2026-05-14 at 17_30_18.csv
ремонт электросамокатов в харькове,20,Средний,"1,68","15,35",Keyword Stats 2026-05-14 at 17_17_56.csv
kugoo s3 не включается,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_17_56.csv
kugoo сервисный центр,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_21_21.csv
ninebot не включается,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_17_56.csv
ninebot не заряжается,10,Низкий,,,Keyword Stats 2026-05-14 at 17_17_56.csv
ninebot самокат не включается,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_17_56.csv
xiaomi m365 не включается,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_17_56.csv
xiaomi m365 не заряжается,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_17_56.csv
xiaomi ремонт,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_21_21.csv
xiaomi сервис,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_30_18.csv
xiaomi сервис харьков,10,Низкий,,,Keyword Stats 2026-05-14 at 17_21_21.csv
xiaomi харьков сервисный центр,10,Средний,,,Keyword Stats 2026-05-14 at 17_21_21.csv
гироскутер ремонт,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_21_21.csv
диагностика электросамоката,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_21_21.csv
замена контроллера электросамоката,10,Высокий,,,Keyword Stats 2026-05-14 at 17_21_21.csv
замена экрана xiaomi харьков,10,Низкий,,,Keyword Stats 2026-05-14 at 17_30_18.csv
мастер по ремонту электросамокатов,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_21_21.csv
мастерская по ремонту электровелосипедов,10,Низкий,,,Keyword Stats 2026-05-14 at 17_22_01.csv
мастерские по ремонту электровелосипедов,10,Низкий,,,Keyword Stats 2026-05-14 at 17_29_49.csv
настройка электросамоката,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_21_21.csv
не включается самокат,10,Низкий,,,Keyword Stats 2026-05-14 at 17_17_56.csv
не включается самокат kugoo s3,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_17_56.csv
не включается электросамокат,10,Низкий,,,Keyword Stats 2026-05-14 at 17_17_56.csv
не едет электросамокат,10,Низкий,,,Keyword Stats 2026-05-14 at 17_21_21.csv
не заряжается самокат,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_17_56.csv
не заряжается электросамокат,10,Низкий,,,Keyword Stats 2026-05-14 at 17_17_56.csv
неисправности электросамоката,10,Низкий,,,Keyword Stats 2026-05-14 at 17_21_21.csv
обслуживание электросамоката,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_21_21.csv
ошибки электросамокатов,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_21_21.csv
переделка гироскутера под ручку газа,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_22_01.csv
поломки электросамоката,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_21_21.csv
починка гироскутера,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_21_21.csv
разборка электросамокатов,10,Средний,,,Keyword Stats 2026-05-14 at 17_21_21.csv
ремонт xiaomi харьков,10,Низкий,,,Keyword Stats 2026-05-14 at 17_21_21.csv
ремонт аккумулятора гироскутера,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_22_01.csv
ремонт батареи гироскутера,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_22_01.csv
ремонт гироборда,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_28_59.csv
ремонт гиробордов,10,Низкий,,,Keyword Stats 2026-05-14 at 17_21_21.csv
ремонт гироскутер,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_21_21.csv
ремонт гироскутера,10,Средний,"2,76","18,44",Keyword Stats 2026-05-14 at 17_28_59.csv
ремонт гироскутера своими руками,10,Низкий,,,Keyword Stats 2026-05-14 at 17_22_01.csv
ремонт гироскутеров,10,Средний,"2,76","18,44",Keyword Stats 2026-05-14 at 17_21_21.csv
ремонт гироскутеров харьков,10,Средний,"3,88","25,03",Keyword Stats 2026-05-14 at 17_21_21.csv
ремонт гіроборда,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_28_59.csv
ремонт зарядки xiaomi,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_21_21.csv
ремонт зарядки гироскутера,10,Низкий,,,Keyword Stats 2026-05-14 at 17_29_25.csv
ремонт зарядного устройства электровелосипеда,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_30_18.csv
ремонт и обслуживание электросамокатов,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_21_21.csv
ремонт камеры xiaomi,10,Низкий,,,Keyword Stats 2026-05-14 at 17_30_18.csv
ремонт контроллера электровелосипеда,10,Средний,,,Keyword Stats 2026-05-14 at 17_30_18.csv
ремонт контроллера электросамоката,10,Низкий,,,Keyword Stats 2026-05-14 at 17_21_21.csv
ремонт моноколес,10,Средний,,,Keyword Stats 2026-05-14 at 17_22_01.csv
ремонт моноколеса,10,Средний,,,Keyword Stats 2026-05-14 at 17_28_59.csv
ремонт наушников xiaomi,10,Низкий,,,Keyword Stats 2026-05-14 at 17_30_18.csv
ремонт платы гироскутера,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_29_25.csv
ремонт самоката xiaomi,10,Средний,,,Keyword Stats 2026-05-14 at 17_21_21.csv
ремонт самокатов сяоми,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_21_21.csv
ремонт самокатів,10,Низкий,,,Keyword Stats 2026-05-14 at 17_21_21.csv
ремонт смарт часов xiaomi,10,Низкий,,,Keyword Stats 2026-05-14 at 17_30_18.csv
ремонт смартфона xiaomi,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_21_21.csv
ремонт техники xiaomi,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_30_18.csv
ремонт фитнес браслетов xiaomi,10,Низкий,,,Keyword Stats 2026-05-14 at 17_30_18.csv
ремонт электрических самокатов,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_21_21.csv
ремонт электровелосипедов,10,Низкий,,,Keyword Stats 2026-05-14 at 17_22_01.csv
ремонт электровелосипедов в харькове,10,Средний,"1,82","12,03",Keyword Stats 2026-05-14 at 17_22_01.csv
ремонт электросамокат,10,Высокий,,,Keyword Stats 2026-05-14 at 17_21_21.csv
ремонт электросамокатов kugoo,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_21_21.csv
ремонт электросамокатов xiaomi,10,Низкий,,,Keyword Stats 2026-05-14 at 17_21_21.csv
ремонт электросамокатов рядом со мной,10,Низкий,,,Keyword Stats 2026-05-14 at 17_22_01.csv
ремонт єлектросамокатов,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_21_21.csv
самокат выключился и не включается,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_17_56.csv
самокат не включается,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_21_21.csv
самокат не заряжается,10,Низкий,,,Keyword Stats 2026-05-14 at 17_17_56.csv
сервис xiaomi,10,Низкий,,,Keyword Stats 2026-05-14 at 17_30_18.csv
сервис xiaomi харьков,10,Низкий,,,Keyword Stats 2026-05-14 at 17_21_21.csv
сервис по ремонту телефонов xiaomi,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_21_21.csv
сервис самокатов xiaomi,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_21_21.csv
сервис электровелосипедов,10,Низкий,,,Keyword Stats 2026-05-14 at 17_22_01.csv
сервис электросамокатов,10,Низкий,,,Keyword Stats 2026-05-14 at 17_22_01.csv
сервисный центр xiaomi в харькове,10,Высокий,,,Keyword Stats 2026-05-14 at 17_30_18.csv
сервисный центр по ремонту телефонов xiaomi,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_21_21.csv
сервисный центр по ремонту электросамокатов,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_21_21.csv
сервисный центр самокатов,10,Низкий,,,Keyword Stats 2026-05-14 at 17_21_21.csv
сервисный центр самокатов xiaomi,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_21_21.csv
сервисный центр телевизоров xiaomi,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_30_18.csv
сервисный центр телефонов xiaomi,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_21_21.csv
сервисный центр электросамокатов,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_21_21.csv
харьков сервисный центр xiaomi,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_30_18.csv
электровелосипед ремонт,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_30_18.csv
электросамокат xiaomi не заряжается,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_17_56.csv
электросамокат быстро разряжается,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_19_48.csv
электросамокат выключился и не включается,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_17_56.csv
электросамокат не включается,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_17_56.csv
электросамокат не включается дисплей,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_17_56.csv
электросамокат не включается причины,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_17_56.csv
электросамокат не едет,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_21_21.csv
электросамокат не заряжается,10,Низкий,,,Keyword Stats 2026-05-14 at 17_17_56.csv
электросамокат ремонт,10,Низкий,,,Keyword Stats 2026-05-14 at 17_21_21.csv
электросамокаты ремонт,10,Низкий,,,Keyword Stats 2026-05-14 at 17_21_21.csv
электроскутер ремонт,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_21_21.csv
kugoo m4 pro не заряжается,0,Неизвестно,,,Keyword Stats 2026-05-14 at 17_17_56.csv
kugoo s1 не включается,0,Неизвестно,,,Keyword Stats 2026-05-14 at 17_17_56.csv
kugoo s3 pro не включается,0,Неизвестно,,,Keyword Stats 2026-05-14 at 17_17_56.csv
kugoo s3 быстро разряжается,0,Неизвестно,,,Keyword Stats 2026-05-14 at 17_19_48.csv
kugoo s3 не включается после зарядки,0,Неизвестно,,,Keyword Stats 2026-05-14 at 17_17_56.csv
kugoo s3 не заряжается,0,Неизвестно,,,Keyword Stats 2026-05-14 at 17_17_56.csv
ninebot es2 не заряжается,0,Неизвестно,,,Keyword Stats 2026-05-14 at 17_17_56.csv
xiaomi m365 быстро разряжается,0,Неизвестно,,,Keyword Stats 2026-05-14 at 17_19_48.csv
xiaomi mijia m365 не заряжается,0,Неизвестно,,,Keyword Stats 2026-05-14 at 17_17_56.csv
замена аккумулятора электросамоката харьков,0,Неизвестно,,,Keyword Stats 2026-05-14 at 17_17_56.csv
замена экрана телевизора xiaomi,0,Неизвестно,,,Keyword Stats 2026-05-14 at 17_30_18.csv
мастер по ремонту электровелосипедов,0,Неизвестно,,,Keyword Stats 2026-05-14 at 17_22_01.csv
моноколесо ремонт,0,Неизвестно,,,Keyword Stats 2026-05-14 at 17_21_21.csv
не включается электросамокат kugoo s3,0,Неизвестно,,,Keyword Stats 2026-05-14 at 17_17_56.csv
не работает электросамокат,0,Неизвестно,,,Keyword Stats 2026-05-14 at 17_21_21.csv
ремонт контроллера самоката,0,Неизвестно,,,Keyword Stats 2026-05-14 at 17_21_21.csv
ремонт контроллера электросамоката харьков,0,Неизвестно,,,Keyword Stats 2026-05-14 at 17_17_56.csv
ремонт мониторов xiaomi,0,Неизвестно,,,Keyword Stats 2026-05-14 at 17_30_18.csv
ремонт мотора электровелосипеда,0,Неизвестно,,,Keyword Stats 2026-05-14 at 17_30_18.csv
ремонт самокатов куго,0,Неизвестно,,,Keyword Stats 2026-05-14 at 17_21_21.csv
ремонт электросамоката после воды харьков,0,Неизвестно,,,Keyword Stats 2026-05-14 at 17_19_48.csv
ремонт электросамокатов kugoo харьков,0,Неизвестно,,,Keyword Stats 2026-05-14 at 17_17_56.csv
ремонт электросамокатов ninebot,0,Неизвестно,,,Keyword Stats 2026-05-14 at 17_21_21.csv
ремонт электросамокатов ninebot харьков,0,Неизвестно,,,Keyword Stats 2026-05-14 at 17_17_56.csv
ремонт электросамокатов xiaomi харьков,0,Неизвестно,,,Keyword Stats 2026-05-14 at 17_17_56.csv
ремонт электросамокатов куго,0,Неизвестно,,,Keyword Stats 2026-05-14 at 17_21_21.csv
ремонт электросамокатов харьков цены,0,Неизвестно,,,Keyword Stats 2026-05-14 at 17_19_07.csv
самокат быстро разряжается,0,Неизвестно,,,Keyword Stats 2026-05-14 at 17_19_48.csv
самокат не заряжается до конца,0,Неизвестно,,,Keyword Stats 2026-05-14 at 17_17_56.csv
сервис по ремонту электросамокатов,0,Неизвестно,,,Keyword Stats 2026-05-14 at 17_28_59.csv
сервис электросамокатов харьков,0,Неизвестно,,,Keyword Stats 2026-05-14 at 17_19_07.csv
сервисный центр электросамокатов харьков,0,Неизвестно,,,Keyword Stats 2026-05-14 at 17_19_07.csv
электрический самокат зарядка,0,Неизвестно,,,Keyword Stats 2026-05-14 at 17_17_56.csv
электросамокат kugoo s3 не включается,0,Неизвестно,,,Keyword Stats 2026-05-14 at 17_17_56.csv
электросамокат не включается без зарядки,0,Неизвестно,,,Keyword Stats 2026-05-14 at 17_17_56.csv
