Раздел,Тип,Slug,H1 / Название,Прототип онлайн,SEO-текст онлайн,Семантика онлайн,План онлайн,Handoff онлайн,Title,Description,Кластер / интент,Приоритет,Статус,Следующее действие
P0,P0 money-page,remont-elektrosamokativ-kharkiv,Ремонт електросамокатів у Харкові,https://yaroslav775-eng.github.io/inservic-seo-2026/site/transport/remont-elektrosamokativ-kharkiv.html,,,,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/handoff/remont-elektrosamokativ-kharkiv-handoff.html,Ремонт електросамокатів у Харкові від 100 грн — InService,"Ремонт електросамокатів у Харкові: діагностика від 100 грн, ремонт батареї, контролера, мотор-колеса, зарядки та гальм. Xiaomi, Ninebot, Kugoo. Адреса: Дерев",Основной кластер: ремонт электросамокатов Харьков,P0,Готово/черновик,Финально согласовать как материнскую страницу и передать верстальщику
Бренды,Бренд,remont-elektrosamokativ-kugoo-kharkiv,Ремонт електросамокатів Kugoo у Харкові,https://yaroslav775-eng.github.io/inservic-seo-2026/site/transport/remont-elektrosamokativ-kugoo-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/handoff/ua-seo-text-remont-elektrosamokativ-kugoo-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/strategy/semantic-core-remont-elektrosamokativ-kugoo-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/strategy/seo-text-plan-remont-elektrosamokativ-kugoo-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/handoff/remont-elektrosamokativ-kugoo-kharkiv-handoff.html,Ремонт електросамокатів Kugoo у Харкові — InService,"Ремонт електросамокатів Kugoo у Харкові: S1, S3, M4, M4 Pro, G-Booster, Max Speed. Діагностика контролера, батареї, мотор-колеса, гальм, складного механізму.",Бренд: Kugoo / KuKirin,P1,Готово/черновик,"Проверить модели, цены, фото и доступность деталей у владельца"
Бренды,Бренд,remont-elektrosamokativ-ninebot-kharkiv,Ремонт електросамокатів Ninebot у Харкові,https://yaroslav775-eng.github.io/inservic-seo-2026/site/transport/remont-elektrosamokativ-ninebot-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/handoff/ua-seo-text-remont-elektrosamokativ-ninebot-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/strategy/semantic-core-remont-elektrosamokativ-ninebot-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/strategy/seo-text-plan-remont-elektrosamokativ-ninebot-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/handoff/remont-elektrosamokativ-ninebot-kharkiv-handoff.html,Ремонт електросамокатів Ninebot у Харкові — InService,"Ремонт електросамокатів Ninebot у Харкові: ES2, ES4, Max G30, F-серія. Діагностика батареї, BMS, контролера, дисплея, зарядки, мотор-колеса. InService, вул. Дерев",Бренд: Ninebot / Segway,P1,Готово/черновик,"Проверить модели, цены, фото и доступность деталей у владельца"
Бренды,Бренд,remont-elektrosamokativ-xiaomi-kharkiv,Ремонт електросамокатів Xiaomi у Харкові,https://yaroslav775-eng.github.io/inservic-seo-2026/site/transport/remont-elektrosamokativ-xiaomi-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/handoff/ua-seo-text-remont-elektrosamokativ-xiaomi-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/strategy/semantic-core-remont-elektrosamokativ-xiaomi-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/strategy/seo-text-plan-remont-elektrosamokativ-xiaomi-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/handoff/remont-elektrosamokativ-xiaomi-kharkiv-handoff.html,Ремонт електросамокатів Xiaomi у Харкові — InService,"Ремонт електросамокатів Xiaomi у Харкові: M365, 1S, Essential, Pro, Pro 2. Діагностика батареї, BMS, контролера, дисплея, зарядки, мотор-колеса. InService, вул. Дерев",Бренд: Xiaomi,P1,Готово/черновик,"Проверить модели, цены, фото и доступность деталей у владельца"
Поломки,Поломка,elektrosamokat-ne-vmykayetsya-kharkiv,Електросамокат не вмикається у Харкові,https://yaroslav775-eng.github.io/inservic-seo-2026/site/transport/elektrosamokat-ne-vmykayetsya-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/handoff/ua-seo-text-elektrosamokat-ne-vmykayetsya-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/strategy/semantic-core-elektrosamokat-ne-vmykayetsya-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/strategy/seo-text-plan-elektrosamokat-ne-vmykayetsya-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/handoff/elektrosamokat-ne-vmykayetsya-kharkiv-handoff.html,Електросамокат не вмикається у Харкові — діагностика від 100 грн | InService,"Електросамокат не вмикається у Харкові: перевірка акумулятора, BMS, кнопки живлення, дисплея, контролера, проводки та наслідків води. InService, вул. Дерев",Симптом: электросамокат не включается,P1,Готово/черновик,Проверить цены/гарантию и связать внутренними ссылками
Поломки,Поломка,elektrosamokat-ne-zaryadzhayetsya-kharkiv,Електросамокат не заряджається у Харкові,https://yaroslav775-eng.github.io/inservic-seo-2026/site/transport/elektrosamokat-ne-zaryadzhayetsya-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/handoff/ua-seo-text-elektrosamokat-ne-zaryadzhayetsya-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/strategy/semantic-core-elektrosamokat-ne-zaryadzhayetsya-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/strategy/seo-text-plan-elektrosamokat-ne-zaryadzhayetsya-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/handoff/elektrosamokat-ne-zaryadzhayetsya-kharkiv-handoff.html,Електросамокат не заряджається у Харкові — діагностика від 100 грн | InService,"Електросамокат не заряджається у Харкові: перевірка зарядного порту, BMS, акумулятора, контролера, проводки та зарядного пристрою. InService, вул. Дерев",Симптом: электросамокат не заряжается,P1,Готово/черновик,Проверить цены/гарантию и связать внутренними ссылками
Узлы,Узел,remont-akumulyatora-elektrosamokata-kharkiv,Ремонт акумулятора електросамоката у Харкові,https://yaroslav775-eng.github.io/inservic-seo-2026/site/transport/remont-akumulyatora-elektrosamokata-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/handoff/ua-seo-text-remont-akumulyatora-elektrosamokata-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/strategy/semantic-core-remont-akumulyatora-elektrosamokata-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/strategy/seo-text-plan-remont-akumulyatora-elektrosamokata-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/handoff/remont-akumulyatora-elektrosamokata-kharkiv-handoff.html,Ремонт акумулятора електросамоката у Харкові — InService,"Ремонт акумулятора електросамоката у Харкові: діагностика батареї, BMS, балансу елементів, глибокого розряду та швидкого розряду. InService, вул. Дерев",Узел: аккумулятор / BMS,P1,Готово/черновик,Проверить цены/гарантию и связать внутренними ссылками
Узлы,Узел,remont-kontrolera-elektrosamokata-kharkiv,Ремонт контролера електросамоката у Харкові,https://yaroslav775-eng.github.io/inservic-seo-2026/site/transport/remont-kontrolera-elektrosamokata-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/handoff/ua-seo-text-remont-kontrolera-elektrosamokata-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/strategy/semantic-core-remont-kontrolera-elektrosamokata-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/strategy/seo-text-plan-remont-kontrolera-elektrosamokata-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/handoff/remont-kontrolera-elektrosamokata-kharkiv-handoff.html,Ремонт контролера електросамоката у Харкові — InService,"Ремонт контролера електросамоката у Харкові: діагностика плати, роз",Узел: контролер,P1,Готово/черновик,Проверить цены/гарантию и связать внутренними ссылками
Узлы,Узел,remont-motor-kolesa-elektrosamokata-kharkiv,Ремонт мотор-колеса електросамоката у Харкові,https://yaroslav775-eng.github.io/inservic-seo-2026/site/transport/remont-motor-kolesa-elektrosamokata-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/handoff/ua-seo-text-remont-motor-kolesa-elektrosamokata-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/strategy/semantic-core-remont-motor-kolesa-elektrosamokata-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/strategy/seo-text-plan-remont-motor-kolesa-elektrosamokata-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/handoff/remont-motor-kolesa-elektrosamokata-kharkiv-handoff.html,Ремонт мотор-колеса електросамоката у Харкові — InService,"Ремонт мотор-колеса електросамоката у Харкові: діагностика датчиків Холла, підшипників, обмотки, проводки, перегріву, шуму та ривків. InService, вул. Дерев",Узел: мотор-колесо,P1,Готово/черновик,Проверить цены/гарантию и связать внутренними ссылками
Бренды,Бренд,remont-elektrosamokativ-crosser-kharkiv,Ремонт електросамокатів Crosser у Харкові,https://yaroslav775-eng.github.io/inservic-seo-2026/site/transport/remont-elektrosamokativ-crosser-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/handoff/ua-seo-text-remont-elektrosamokativ-crosser-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/strategy/semantic-core-remont-elektrosamokativ-crosser-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/strategy/seo-text-plan-remont-elektrosamokativ-crosser-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/handoff/remont-elektrosamokativ-crosser-kharkiv-handoff.html,Ремонт електросамокатів Crosser у Харкові — InService,"Ремонт електросамокатів Crosser у Харкові: T4, E9 та міські моделі. Діагностика батареї, контролера, мотор-колеса, зарядки, гальм, коліс і наслідків води.",Бренд: Crosser,P2,Готово/черновик,"Проверить модели, цены, фото и доступность деталей у владельца"
Бренды,Бренд,remont-elektrotransportu-giant-kharkiv,Ремонт електротранспорту Giant у Харкові,https://yaroslav775-eng.github.io/inservic-seo-2026/site/transport/remont-elektrotransportu-giant-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/handoff/ua-seo-text-remont-elektrotransportu-giant-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/strategy/semantic-core-remont-elektrotransportu-giant-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/strategy/seo-text-plan-remont-elektrotransportu-giant-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/handoff/remont-elektrotransportu-giant-kharkiv-handoff.html,Ремонт електротранспорту Giant у Харкові — InService,"Ремонт електротранспорту Giant у Харкові: діагностика батареї, BMS, зарядки, дисплея, контролера, мотора, датчиків, проводки та наслідків води.",Бренд/e-bike: Giant,P2,Готово/черновик,"Проверить модели, цены, фото и доступность деталей у владельца"
Поломки,Поломка,elektrosamokat-pislya-vody-kharkiv,Ремонт електросамоката після води у Харкові,https://yaroslav775-eng.github.io/inservic-seo-2026/site/transport/elektrosamokat-pislya-vody-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/handoff/ua-seo-text-elektrosamokat-pislya-vody-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/strategy/semantic-core-elektrosamokat-pislya-vody-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/strategy/seo-text-plan-elektrosamokat-pislya-vody-kharkiv.html,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/handoff/elektrosamokat-pislya-vody-kharkiv-handoff.html,Ремонт електросамоката після води у Харкові — InService,"Електросамокат після води у Харкові: діагностика контролера, акумулятора, BMS, зарядного порту, дисплея, мотор-колеса, проводки та корозії. InService, вул. Дерев",Симптом: после воды / дождя,P2,Готово/черновик,Проверить цены/гарантию и связать внутренними ссылками
Разделы,Раздел устройства,electric-bicycles,Ремонт электровелосипедов в Харькове,https://yaroslav775-eng.github.io/inservic-seo-2026/site/transport/electric-bicycles.html,,,,,Ремонт электровелосипедов в Харькове — InService,Прототип отдельной страницы InService по ремонту электровелосипедов в Харькове.,Ремонт электровелосипедов в Харькове,P2,Нужна доработка,"Решить, нужна ли полноценная SEO-страница на этапе 2"
Разделы,Раздел устройства,electric-scooters,Ремонт электроскутеров в Харькове,https://yaroslav775-eng.github.io/inservic-seo-2026/site/transport/electric-scooters.html,,,,,Ремонт электроскутеров в Харькове — InService,Прототип отдельной страницы InService по ремонту электроскутеров в Харькове.,Ремонт электроскутеров в Харькове,P2,Нужна доработка,"Решить, нужна ли полноценная SEO-страница на этапе 2"
Разделы,Раздел устройства,gyro-scooters,Ремонт гироскутеров в Харькове,https://yaroslav775-eng.github.io/inservic-seo-2026/site/transport/gyro-scooters.html,,,,,Ремонт гироскутеров в Харькове — InService,Прототип страницы InService по ремонту гироскутеров в Харькове.,Ремонт гироскутеров в Харькове,P2,Нужна доработка,"Решить, нужна ли полноценная SEO-страница на этапе 2"
Разделы,Раздел устройства,hoverboards,Ремонт гиробордов в Харькове,https://yaroslav775-eng.github.io/inservic-seo-2026/site/transport/hoverboards.html,,,,,Ремонт гиробордов в Харькове — InService,Прототип страницы InService по ремонту гиробордов в Харькове.,Ремонт гиробордов в Харькове,P2,Нужна доработка,"Решить, нужна ли полноценная SEO-страница на этапе 2"
Разделы,Раздел устройства,monowheels,Ремонт моноколес в Харькове,https://yaroslav775-eng.github.io/inservic-seo-2026/site/transport/monowheels.html,,,,,Ремонт моноколес в Харькове — InService,Прототип страницы InService по ремонту моноколес в Харькове.,Ремонт моноколес в Харькове,P2,Нужна доработка,"Решить, нужна ли полноценная SEO-страница на этапе 2"
Хабы,Хаб,electric-transport,Ремонт электротранспорта в Харькове,https://yaroslav775-eng.github.io/inservic-seo-2026/site/transport/electric-transport.html,,https://yaroslav775-eng.github.io/inservic-seo-2026/docs/strategy/semantic-core-electric-transport.html,,,Ремонт электротранспорта в Харькове — InService,"Прототип родительской страницы InService по ремонту электротранспорта в Харькове: типы устройств, этапы развития структуры и главная ветка по электросамокатам.",Ремонт электротранспорта в Харькове,P2,Нужна доработка,Проверить актуальность и приоритет
