"Group","From","FromUrl","To","ToUrl","Anchor","Place","Priority","Note"
"Хаб","Ремонт електротранспорту у Харкові","/site/transport/electric-transport.html","Ремонт електросамокатів у Харкові","/site/transport/remont-elektrosamokativ-kharkiv.html","ремонт електросамокатів у Харкові","Карточка устройств + блок популярних напрямків","P1","Основная ссылка хаба на материнскую страницу электросамокатов"
"Хаб","Ремонт електротранспорту у Харкові","/site/transport/electric-transport.html","Електросамокат не заряджається","/site/transport/elektrosamokat-ne-zaryadzhayetsya-kharkiv.html","електросамокат не заряджається","Блок типових поломок","P1","Симптом с высоким интентом"
"Хаб","Ремонт електротранспорту у Харкові","/site/transport/electric-transport.html","Ремонт акумулятора електросамоката","/site/transport/remont-akumulyatora-elektrosamokata-kharkiv.html","ремонт акумулятора електросамоката","Блок вузлів / акумулятори","P1","Дать ссылку как на узловую услугу"
"Материнская","Ремонт електросамокатів у Харкові","/site/transport/remont-elektrosamokativ-kharkiv.html","Електросамокат не заряджається","/site/transport/elektrosamokat-ne-zaryadzhayetsya-kharkiv.html","не заряджається","Блок Поломки / Що ремонтуємо","P0","Карточка поломки должна быть кликабельной"
"Материнская","Ремонт електросамокатів у Харкові","/site/transport/remont-elektrosamokativ-kharkiv.html","Електросамокат не вмикається","/site/transport/elektrosamokat-ne-vmykayetsya-kharkiv.html","електросамокат не вмикається","Блок Поломки / Що ремонтуємо","P0","Симптомная страница"
"Материнская","Ремонт електросамокатів у Харкові","/site/transport/remont-elektrosamokativ-kharkiv.html","Ремонт акумулятора","/site/transport/remont-akumulyatora-elektrosamokata-kharkiv.html","ремонт акумулятора електросамоката","Блок вузлів + SEO-низ","P0","Усилить аккумуляторный кластер"
"Материнская","Ремонт електросамокатів у Харкові","/site/transport/remont-elektrosamokativ-kharkiv.html","Ремонт контролера","/site/transport/remont-kontrolera-elektrosamokata-kharkiv.html","ремонт контролера електросамоката","Блок вузлів + SEO-низ","P0","Усилить кластер контролера"
"Материнская","Ремонт електросамокатів у Харкові","/site/transport/remont-elektrosamokativ-kharkiv.html","Ремонт мотор-колеса","/site/transport/remont-motor-kolesa-elektrosamokata-kharkiv.html","ремонт мотор-колеса електросамоката","Блок вузлів","P0","Узел с понятным техническим интентом"
"Материнская","Ремонт електросамокатів у Харкові","/site/transport/remont-elektrosamokativ-kharkiv.html","Після води","/site/transport/elektrosamokat-pislya-vody-kharkiv.html","ремонт електросамоката після води","Блок типових ситуацій","P1","Не перегружать анкорами, одна ссылка достаточно"
"Материнская","Ремонт електросамокатів у Харкові","/site/transport/remont-elektrosamokativ-kharkiv.html","Xiaomi","/site/transport/remont-elektrosamokativ-xiaomi-kharkiv.html","ремонт електросамокатів Xiaomi","Блок популярних брендів","P0","Карточка бренда"
"Материнская","Ремонт електросамокатів у Харкові","/site/transport/remont-elektrosamokativ-kharkiv.html","Ninebot","/site/transport/remont-elektrosamokativ-ninebot-kharkiv.html","ремонт електросамокатів Ninebot","Блок популярних брендів","P0","Карточка бренда"
"Материнская","Ремонт електросамокатів у Харкові","/site/transport/remont-elektrosamokativ-kharkiv.html","Kugoo","/site/transport/remont-elektrosamokativ-kugoo-kharkiv.html","ремонт електросамокатів Kugoo","Блок популярних брендів","P0","Карточка бренда"
"Материнская","Ремонт електросамокатів у Харкові","/site/transport/remont-elektrosamokativ-kharkiv.html","Crosser","/site/transport/remont-elektrosamokativ-crosser-kharkiv.html","ремонт електросамокатів Crosser","Блок популярних брендів","P1","Карточка бренда"
"Дочерние -> материнская","Електросамокат не заряджається","/site/transport/elektrosamokat-ne-zaryadzhayetsya-kharkiv.html","Ремонт електросамокатів у Харкові","/site/transport/remont-elektrosamokativ-kharkiv.html","ремонт електросамокатів у Харкові","Хлебные крошки + блок Інші послуги","P0","Обязательная обратная ссылка на материнскую"
"Дочерние -> материнская","Ремонт акумулятора","/site/transport/remont-akumulyatora-elektrosamokata-kharkiv.html","Ремонт електросамокатів у Харкові","/site/transport/remont-elektrosamokativ-kharkiv.html","сервіс електросамокатів у Харкові","SEO-низ / після блоку ціни","P0","Вариативный анкор, без переспама"
"Дочерние -> материнская","Ремонт контролера","/site/transport/remont-kontrolera-elektrosamokata-kharkiv.html","Ремонт електросамокатів у Харкові","/site/transport/remont-elektrosamokativ-kharkiv.html","ремонт електросамокатів у Харкові","Блок повʼязаних послуг","P0","Обратная ссылка"
"Дочерние -> материнская","Ремонт мотор-колеса","/site/transport/remont-motor-kolesa-elektrosamokata-kharkiv.html","Ремонт електросамокатів у Харкові","/site/transport/remont-elektrosamokativ-kharkiv.html","діагностика електросамоката у Харкові","После диагностики","P0","Разбавленный анкор"
"Дочерние -> смежные","Електросамокат не заряджається","/site/transport/elektrosamokat-ne-zaryadzhayetsya-kharkiv.html","Ремонт акумулятора","/site/transport/remont-akumulyatora-elektrosamokata-kharkiv.html","ремонт акумулятора","Блок можливих причин","P0","Логическая связь зарядки и батареи"
"Дочерние -> смежные","Електросамокат не заряджається","/site/transport/elektrosamokat-ne-zaryadzhayetsya-kharkiv.html","Ремонт контролера","/site/transport/remont-kontrolera-elektrosamokata-kharkiv.html","діагностика контролера","Блок що перевіряємо","P1","Если причина может быть в плате/контролере"
"Дочерние -> смежные","Електросамокат не вмикається","/site/transport/elektrosamokat-ne-vmykayetsya-kharkiv.html","Ремонт акумулятора","/site/transport/remont-akumulyatora-elektrosamokata-kharkiv.html","перевірка акумулятора","Блок можливих причин","P0","Главная причина не включается"
"Дочерние -> смежные","Електросамокат не вмикається","/site/transport/elektrosamokat-ne-vmykayetsya-kharkiv.html","Ремонт контролера","/site/transport/remont-kontrolera-elektrosamokata-kharkiv.html","ремонт контролера","Блок можливих причин","P0","Вторая логичная причина"
"Дочерние -> смежные","Після води","/site/transport/elektrosamokat-pislya-vody-kharkiv.html","Ремонт контролера","/site/transport/remont-kontrolera-elektrosamokata-kharkiv.html","діагностика контролера після вологи","Блок що страждає після води","P0","После воды часто страдает электроника"
"Дочерние -> смежные","Після води","/site/transport/elektrosamokat-pislya-vody-kharkiv.html","Ремонт акумулятора","/site/transport/remont-akumulyatora-elektrosamokata-kharkiv.html","перевірка батареї після води","Блок ризики","P1","Аккумулятор/BMS после воды"
"Бренды -> материнская","Xiaomi","/site/transport/remont-elektrosamokativ-xiaomi-kharkiv.html","Ремонт електросамокатів у Харкові","/site/transport/remont-elektrosamokativ-kharkiv.html","ремонт електросамокатів у Харкові","Блок інші послуги","P0","Брендовая страница поддерживает материнскую"
"Бренды -> материнская","Ninebot","/site/transport/remont-elektrosamokativ-ninebot-kharkiv.html","Ремонт електросамокатів у Харкові","/site/transport/remont-elektrosamokativ-kharkiv.html","сервіс електросамокатів у Харкові","Блок інші послуги","P0","Разбавленный анкор"
"Бренды -> материнская","Kugoo","/site/transport/remont-elektrosamokativ-kugoo-kharkiv.html","Ремонт електросамокатів у Харкові","/site/transport/remont-elektrosamokativ-kharkiv.html","ремонт електросамокатів у Харкові","Блок інші послуги","P0","Обратная ссылка"
"Бренды -> материнская","Crosser","/site/transport/remont-elektrosamokativ-crosser-kharkiv.html","Ремонт електросамокатів у Харкові","/site/transport/remont-elektrosamokativ-kharkiv.html","діагностика електросамокатів у Харкові","Блок інші послуги","P1","Разбавленный анкор"
"Бренды -> узлы","Xiaomi","/site/transport/remont-elektrosamokativ-xiaomi-kharkiv.html","Ремонт акумулятора","/site/transport/remont-akumulyatora-elektrosamokata-kharkiv.html","ремонт батареї Xiaomi","Блок типових поломок Xiaomi","P1","Если в тексте есть батарея/BMS"
"Бренды -> узлы","Ninebot","/site/transport/remont-elektrosamokativ-ninebot-kharkiv.html","Не заряджається","/site/transport/elektrosamokat-ne-zaryadzhayetsya-kharkiv.html","якщо Ninebot не заряджається","Блок типових симптомів","P1","Симптомная связка"
"Бренды -> узлы","Kugoo","/site/transport/remont-elektrosamokativ-kugoo-kharkiv.html","Ремонт контролера","/site/transport/remont-kontrolera-elektrosamokata-kharkiv.html","ремонт контролера Kugoo","Блок типових поломок","P1","Kugoo часто идет по контролеру/электронике"
"Бренды -> узлы","Crosser","/site/transport/remont-elektrosamokativ-crosser-kharkiv.html","Після води","/site/transport/elektrosamokat-pislya-vody-kharkiv.html","ремонт після води","Блок типових поломок","P2","Смежный симптом"
"Генераторы","Ремонт дизельных генераторов","/site/generators/remont-dizelnykh-generatorov-kharkov.html","Текущая страница на сайте","https://inservic.com.ua/ru/service/remont-dyzelnykh-heneratorov-kharko/","страница ремонта дизельных генераторов на сайте","Не ставить в публичном тексте; только в таблице проекта","Info","Генераторы не связываем с электросамокатами по SEO, это отдельный кластер"
