Order,Sprint,Weekday,Planned Date,Priority,Cluster,URL,Page Type,Status,Why This Page,Primary Action,Deliverable,Approval URL,WP Published,GSC Submitted,14d Check,28d Check,Notes
1,0,Wednesday,2026-07-22,P0,"Миття вікон, вітрин і фасадів",https://skshine.com.ua/myttia-vikon-vitrun-fasadiv/,Money page with subclusters,Approved,"Пилотная страница процесса; есть показы по фасадам/WFP, но слабая структура по фасадам и витринам",Текстовая SEO/AI-правка без изменения дизайна; версия с подсветкой для согласования,Согласовательная версия опубликована,https://yaroslav775-eng.github.io/inservic-seo-2026/site/skshine/myttia-vikon-vitryn-fasadiv/color-changes.html?v=c0c2947,,,,,Согласовано 2026-07-23; после отдельного подтверждения перенести в WP и отправить на переобход
2,1,Thursday,2026-07-23,P0,Генеральне прибирання,https://skshine.com.ua/prybyrannia-generalne/,Money page,Approval Ready,"Позиция хорошая, но кликов нет; нужно усилить коммерческий интент и CTR",H1+город; первый экран; что входит; отличие от поддерживающего/после ремонта; FAQ; нижний текст,Согласовательная версия опубликована,https://yaroslav775-eng.github.io/inservic-seo-2026/site/skshine/prybyrannia-generalne/color-changes.html,,,,,Подготовлен текстовый SEO/AI-прототип без изменения визуала; ожидание согласования
3,1,Friday,2026-07-24,P0,Прибирання після ремонту,https://skshine.com.ua/prybyrannia-pislya-remonty/,Money page,Planned,"Money-page; нужно больше конкретики по строительной пыли, окнам, клею, краске",Что входит/не входит; допработы; материалы; окна после ремонта; цена/факторы; FAQ,Согласовательная версия с подсветкой,,,,,,
4,1,Monday,2026-07-27,P0,"Хімчистка меблів, дивану, килимів",https://skshine.com.ua/himchystka-mebliv-kukumiv/,Money page with subclusters,Planned,Коммерчески сильная услуга; страница должна раскрывать диван/матрац/килим отдельно,Разделы по объектам; пятна/запахи; сушка; ограничения результата; FAQ,Согласовательная версия с подсветкой,,,,,,
5,1,Tuesday,2026-07-28,P0,Прибирання офісів і бізнес-приміщень,https://skshine.com.ua/biznes-poslugu/,B2B hub,Planned,"B2B-хаб должен собирать офисы, магазины, рестораны, салоны, отели",Сегменты бизнеса; график; договор; контроль качества; регулярность; CTA для бизнеса,Согласовательная версия с подсветкой,,,,,,
6,1,Wednesday,2026-07-29,P0,Клінінг Хмельницький / прибирання квартир і будинків,https://skshine.com.ua/,Homepage commercial hub,Planned,Главная дает максимум видимости и закрывает два кластера: клининг + квартиры/будинки,H1/оффер; популярные услуги; цены от; Google-отзывы; быстрые переходы; блок квартиры/будинки,Согласовательная версия с подсветкой,,,,,,"Сложная страница: если не успеваем, пятница = аудит + прототип"
7,2,Thursday,2026-07-30,P1,Прибудинкове прибирання / територія / ОСББ,https://skshine.com.ua/prubudunkove-pruburanna/,Niche money page,Planned,Уже близко к топу и дает клики; быстрый потенциал,ОСББ/ЖК/территории; регулярность; договор; сезонность; факторы цены,Согласовательная версия с подсветкой,,,,,,
8,2,Friday,2026-07-31,P1,Підтримуюче / регулярне прибирання,https://skshine.com.ua/prybyrannia-pidtrumuucse/,Money page,Planned,Нужно раскрыть регулярность и отделить от генерального прибирання,Графики 1/2/4 раза в месяц; что входит; что не входит; квартира/офис; цена/value,Согласовательная версия с подсветкой,,,,,,
9,2,Monday,2026-08-03,P1,Спецприбирання,https://skshine.com.ua/spets-prybyrannia/,Niche money page,Planned,Нишевый коммерческий интент; нужна деликатная подача и сценарии,Сценарии; процесс оценки; безопасность; запахи; мусор; FAQ,Согласовательная версия с подсветкой,,,,,,
10,2,Tuesday,2026-08-04,P1,Чиста кухня / прибирання кухні,https://skshine.com.ua/chusta-kuhna/,Niche money page,Planned,"Страница может закрывать жир, духовку, витяжку, холодильник",Standart/Premium; техника; жир; безопасность средств; FAQ,Согласовательная версия с подсветкой,,,,,,
11,2,Wednesday,2026-08-05,P1,Чиста ванна / прибирання ванної,https://skshine.com.ua/chusta-vanna/,Niche money page,Planned,"Есть позиции; нужно усилить налет, швы, сантехнику, плитку",Standart/Premium; налет; швы; душкабина; сантехника; FAQ,Согласовательная версия с подсветкой,,,,,,
12,3,Thursday,2026-08-06,P1,Миття підлоги професійною технікою,https://skshine.com.ua/mytia-pidlogy-profesiinoiu-tekhnikoiu/,B2B/support money page,Planned,B2B/support страница; нужны объекты и покрытия,Типы покрытий; объекты; машинное мытье; цена; связь с B2B,Согласовательная версия с подсветкой,,,,,,
13,3,Friday,2026-08-07,P2,Додаткові послуги до прибирання,https://skshine.com.ua/dodatkovi-poslugu/,Support/price page,Planned,"Страница может стать удобным прайсом и перелинковкой, но не должна конкурировать с money-pages",Группировка по зонам; что отдельно/допом; цены; ссылки на основные услуги,Согласовательная версия с подсветкой,,,,,,
14,3,Monday,2026-08-10,P2,Прибирання після квартирантів,https://skshine.com.ua/prybyrannia-pisla-kvarturantiv/,Niche money page,Planned,Нужна упаковка под арендодателей/риелторов и подготовку к новой аренде,Запахи; кухня; санузел; мусор; мебель; срочная подготовка к показу; FAQ,Согласовательная версия с подсветкой,,,,,,
15,3,Tuesday,2026-08-11,P2,Косметичний ремонт,https://skshine.com.ua/kosmetuchnuy-remont/,Questionable non-cleaning page,Decision Needed,"Страница выбивается из клининговой семантики; сначала нужно решить, усиливаем ли ее как отдельную услугу",Решение: оставить/усилить отдельно или законсервировать; не переливать клининговый вес без стратегии,Решение + легкий аудит,,,,,,Не начинать текстовую прокачку до подтверждения бизнес-ценности
16,3,Wednesday,2026-08-12,Ops,Буфер внедрения и проверки,,Process day,Planned,"Буфер, чтобы не копить согласованные, но не внедренные страницы",Перенос утвержденных текстов; GSC-переобход; обновление статусов; проверка ссылок,Статусы обновлены,,,,,,
